id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
1663,0,172.18.0.4,b4:8c:9d:5b:7f:35,b4:8c:9d,47386,172.18.0.10,0c:67:14:e9:bd:9f,0c:67:14,7777,6,4,0,0,1787777583439,1787778244003,660564,670,76958,1787777583439,1787778244003,660564,402,54556,1787777583439,1787778244003,660564,268,22402,Unknown,Unspecified,0,0,,,,,
1664,0,172.18.0.16,b4:8c:9d:5b:7f:35,b4:8c:9d,39405,172.18.0.15,0c:67:14:e9:bd:9f,0c:67:14,4997,17,4,0,0,1787777604037,1787777692873,88836,434,31582,1787777604037,1787777692872,88835,206,15310,1787777604037,1787777692873,88836,228,16272,Unknown,Unspecified,0,0,,,,,
1665,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,50631,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787777011006,1787777011013,7,10,1005,1787777011006,1787777011012,6,5,569,1787777011007,1787777011013,6,5,436,Zabbix,Network,0,6,,,,,
1666,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,35433,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787777676006,1787777676018,12,10,1015,1787777676006,1787777676016,10,5,579,1787777676008,1787777676018,10,5,436,Zabbix,Network,0,6,,,,,
1667,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,57448,10.10.3.254,0c:67:14:e9:bd:9f,0c:67:14,53,6,4,0,0,1787777884718,1787777891888,7170,7,522,1787777884718,1787777891888,7170,7,522,0,0,0,0,0,DNS,Network,1,1,,,,,
1668,0,127.0.0.1,00:00:00:00:00:00,00:00:00,45990,127.0.0.53,ff:ff:ff:ff:ff:ff,ff:ff:ff,53,17,4,0,0,1787777584429,1787777589434,5005,4,340,1787777584429,1787777589434,5005,4,340,0,0,0,0,0,DNS.Canonical,Network,0,6,ntp.ubuntu.com,,,,
1669,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,38442,10.10.3.254,0c:67:14:e9:bd:9f,0c:67:14,53,6,4,0,0,1787777604452,1787777611632,7180,7,522,1787777604452,1787777611632,7180,7,522,0,0,0,0,0,DNS,Network,1,1,,,,,
1670,0,127.0.0.1,00:00:00:00:00:00,00:00:00,39748,127.0.0.53,ff:ff:ff:ff:ff:ff,ff:ff:ff,53,17,4,0,0,1787777033887,1787777038893,5006,4,388,1787777033887,1787777038893,5006,4,388,0,0,0,0,0,DNS,Network,0,6,ntp.ubuntu.com.localdomain,,,,
1671,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,44057,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787777676006,1787777676014,8,10,857,1787777676006,1787777676013,7,5,476,1787777676008,1787777676014,6,5,381,Zabbix,Network,0,6,,,,,
1672,0,127.0.0.1,00:00:00:00:00:00,00:00:00,46465,127.0.0.53,ff:ff:ff:ff:ff:ff,ff:ff:ff,53,17,4,0,0,1787777894725,1787777899730,5005,4,388,1787777894725,1787777899730,5005,4,388,0,0,0,0,0,DNS,Network,0,6,ntp.ubuntu.com.localdomain,,,,
